TargetPos_Z	IsShowPath	IsRandomSpeed	TargetAngularSpeed	Points	Distance	Angle	IntPoints	Lag	Index_Speed	Index_Lag	LaserDotTarget	TargetSpeed	PreviousDirDot	PointsThisRun	PointsTotal	Frames	Date
-7.49	1	0	3.07587	9.6192	0.153422	1.06861	9.22599	32	-1	55	0.652867	0.5	0.119597	4888	141488	531	2022-12-2-9:12:15
-7.49	0	0	12.1393	8.71588	0.253791	1.60768	8.23396	0	-1	54	0.78894	2	0.0743866	4353	145841	530	2022-12-2-9:12:23
-7.49	0	0	9.71505	1.17523	0.406013	10.9913	1.03189	64	-1	53	0.297641	2	0.526516	540	146381	533	2022-12-2-9:12:46
-7.49	0	0	22.3241	5.63115	0.469733	3.87921	5.2178	4	-1	52	0.587055	4	-0.183265	2744	149125	528	2022-12-2-9:12:57
-7.49	0	0	1.6885	10.3986	0.0668198	0.470526	10.2374	0	-1	51	0.509394	0.25	0.740276	5466	154591	535	2022-12-2-9:13:6
-7.49	0	0	26.1798	6.45042	0.449583	3.77142	6.01145	2	-1	50	0.610883	4	-0.460608	3139	157730	524	2022-12-2-9:13:16
-7.49	0	0	6.87471	8.43091	0.285454	2.1452	7.9283	16	-1	49	0.660195	1	-0.0443619	4192	161922	530	2022-12-2-9:13:33
-7.49	0	0	10.9802	3.85783	0.660119	5.47221	3.4717	32	-1	48	0.454504	2	0.0940971	1830	163752	530	2022-12-2-9:13:47
-7.49	1	0	23.1909	5.06237	0.548471	4.67669	4.64272	16	-1	47	0.754348	4	-0.0413249	2446	166198	529	2022-12-2-9:14:41
-7.49	1	0	3.6662	9.73647	0.140392	1.09139	9.42155	4	-1	46	0.672581	0.5	0.0511551	4973	171171	529	2022-12-2-9:14:49
-7.49	1	0	7.27416	8.82753	0.241385	1.84308	8.36295	2	-1	45	0.590459	1	0.134	4413	175584	529	2022-12-2-9:14:56
-7.49	0	0	3.12594	6.13346	0.540727	4.05698	5.629	64	-1	44	0.203353	0.5	0.130573	2978	178562	531	2022-12-2-9:15:13
-7.49	1	0	6.55533	7.52465	0.38615	2.90973	7.06994	32	-1	43	0.657214	1	-0.00898878	3729	182291	529	2022-12-2-9:15:27
-7.49	1	0	12.7648	6.32435	0.51968	3.79007	5.84369	32	-1	42	0.654545	2	0.272599	3092	185383	531	2022-12-2-9:15:38
-7.49	1	0	37.503	3.43061	0.567294	6.46326	3.09452	8	-1	41	0.806797	8	-0.217042	1627	187010	529	2022-12-2-9:15:48
-7.49	0	0	6.90314	9.52148	0.16428	1.21219	9.12762	4	-1	40	0.696423	1	-0.483599	4781	191791	525	2022-12-2-9:15:57
-7.49	1	0	39.4652	5.37174	0.467768	4.11676	4.94847	0	-1	39	0.841391	8	-0.549999	2582	194373	524	2022-12-2-9:16:10
-7.49	0	0	7.16685	9.70299	0.144112	1.09879	9.30943	2	-1	38	0.576771	1	0.0613608	4923	199296	530	2022-12-2-9:16:18
-7.49	1	0	7.06532	9.38255	0.179716	1.33866	8.98113	1	-1	37	0.737219	1	-0.0479485	4749	204045	530	2022-12-2-9:16:31
-7.49	0	0	25.0115	4.04405	0.388751	6.7542	3.7219	16	-1	36	0.566281	4	-0.403068	1944	205989	525	2022-12-2-9:16:40
-7.49	0	0	12.7277	6.83992	0.462231	3.28753	6.36106	16	-1	35	0.525	2	0.0872066	3354	209343	529	2022-12-2-9:16:49
-7.49	1	0	3.68731	9.36167	0.182037	1.39119	8.95292	1	-1	34	0.805983	0.5	0.301194	4743	214086	531	2022-12-2-9:17:1
-7.49	1	0	34.9145	4.95653	0.521538	3.32461	4.51607	1	-1	33	0.846861	8	-0.0313558	2379	216465	529	2022-12-2-9:17:10
-7.49	0	0	3.46003	8.72228	0.25308	1.93551	8.20489	32	-1	32	0.643211	0.5	0.242764	4354	220819	532	2022-12-2-9:17:38
-7.49	0	0	13.3121	7.92344	0.34184	2.42389	7.48113	8	-1	31	0.570558	2	-0.0490252	3954	224773	530	2022-12-2-9:17:49
-7.49	0	0	6.24705	3.47971	0.584122	6.9218	3.10943	64	-1	30	0.130131	1	0.0754397	1638	226411	530	2022-12-2-9:18:37
-7.49	0	0	35.5026	0.235207	0.0553059	33.541	0.210626	64	-1	29	-0.0174102	8	-0.400545	102	226513	527	2022-12-2-9:19:26
-7.49	0	0	3.83583	10.1303	0.0966287	0.778367	9.81168	1	-1	28	0.901792	0.5	0.15406	5199	231712	531	2022-12-2-9:19:35
-7.49	1	0	3.73495	10.1986	0.0890495	0.714892	9.9382	8	-1	27	0.644841	0.5	0.565998	5297	237009	534	2022-12-2-9:19:52
-7.49	0	0	3.66455	10.1478	0.094692	0.741635	9.86415	2	-1	26	0.309797	0.5	0.0898826	5218	242227	530	2022-12-2-9:20:1
-7.49	1	0	37.1789	0.469262	0.197377	20.4048	0.398482	32	-1	25	0.42414	8	-0.531237	201	242428	527	2022-12-2-9:20:10
-7.49	1	0	7.55244	9.54695	0.16145	1.29875	9.10795	8	-1	24	0.782545	1	-0.226141	4799	247227	528	2022-12-2-9:20:21
-7.49	1	0	1.8467	10.2406	0.0843782	0.682896	10.0076	16	-1	23	0.809003	0.25	-0.00417061	5283	252510	529	2022-12-2-9:20:36
-7.49	0	0	12.1041	8.7881	0.245766	1.65	8.35283	1	-1	22	0.679426	2	-0.0909189	4416	256926	530	2022-12-2-9:20:45
-7.49	0	0	1.86803	10.4593	0.0600732	0.47327	10.4156	2	-1	21	0.62013	0.25	-0.144836	5478	262404	527	2022-12-2-9:20:52
-7.49	0	0	7.5166	9.58175	0.157583	1.23964	9.15472	0	-1	20	0.714059	1	0.127672	4841	267245	530	2022-12-2-9:21:2
-7.49	1	0	11.3425	8.8259	0.241566	1.57269	8.34528	8	-1	19	0.824267	2	0.129505	4412	271657	530	2022-12-2-9:21:10
-7.49	0	0	3.69251	9.71436	0.142849	1.13341	9.25989	16	-1	18	0.749427	0.5	0.218373	4907	276564	531	2022-12-2-9:21:29
-7.49	0	0	6.67339	9.7416	0.139823	1.02479	9.41021	8	-1	17	0.683644	1	0.0111219	4967	281531	529	2022-12-2-9:21:39
-7.49	1	0	12.8721	9.09985	0.211128	1.45189	8.66792	0	-1	16	0.758961	2	0.105724	4583	286114	530	2022-12-2-9:21:49
-7.49	1	0	1.77264	10.0459	0.106006	0.8412	9.71348	32	-1	15	0.643607	0.25	0.547817	5176	291290	534	2022-12-2-9:22:8
-7.49	1	0	12.4687	7.31381	0.409577	2.7996	6.82519	16	-1	14	0.787788	2	0.264399	3620	294910	532	2022-12-2-9:22:17
-7.49	0	0	1.85848	10.3841	0.0684322	0.541976	10.2713	8	-1	13	0.887803	0.25	-0.115024	5402	300312	527	2022-12-2-9:22:24
-7.49	1	0	24.0411	5.97289	0.535738	3.88449	5.5057	1	-1	12	0.86319	4	-0.474642	2886	303198	526	2022-12-2-9:22:32
-7.49	1	0	6.50585	3.34338	0.644612	7.77918	2.97353	64	-1	11	0.346428	1	-0.0652025	1564	304762	529	2022-12-2-9:22:54
-7.49	0	0	12.5352	9.05882	0.215687	1.51283	8.63396	2	-1	10	0.826648	2	0.113662	4565	309327	530	2022-12-2-9:23:3
-7.49	0	0	7.4742	9.42023	0.17553	1.34406	8.96429	1	-1	9	0.829761	1	0.322706	4758	314085	532	2022-12-2-9:23:12
-7.49	1	0	25.5791	8.36153	0.293163	2.03702	7.87238	0	-1	8	0.867863	4	-0.490229	4122	318207	525	2022-12-2-9:23:19
-7.49	1	0	23.3016	1.59935	0.31881	11.3164	1.41491	32	-1	7	0.374588	4	-0.655754	729	318936	523	2022-12-2-9:23:29
-7.49	0	0	1.80814	10.5225	0.0530604	0.410477	10.4887	1	-1	6	0.534665	0.25	-0.122283	5548	324484	530	2022-12-2-9:23:47
-7.49	0	0	12.9587	8.01504	0.331662	2.29278	7.52542	4	-1	5	0.657566	2	0.0433291	3986	328470	531	2022-12-2-9:23:55
-7.49	0	0	26.5004	5.73423	0.438775	4.69363	5.32952	8	-1	4	0.518054	4	-0.610533	2787	331257	525	2022-12-2-9:24:3
-7.49	0	0	35.378	2.11828	0.440468	8.3692	1.88068	8	-1	3	0.541664	8	-0.315688	984	332241	528	2022-12-2-9:24:21
-7.49	1	0	33.7133	2.09117	0.268024	7.99203	1.90926	16	-1	2	0.704729	8	-0.165682	1000	333241	529	2022-12-2-9:24:33
-7.49	0	0	23.3553	0.463502	0.0701474	29.878	0.425573	64	-1	1	-0.137193	4	-0.641619	212	333453	524	2022-12-2-9:24:51
-7.49	0	0	1.82276	10.237	0.0847789	0.657138	10.0132	4	-1	0	0.557378	0.25	0.0510911	5296	338749	530	2022-12-2-9:25:12
TargetPos_Z	IsShowPath	IsRandomSpeed	TargetAngularSpeed	Points	Distance	Angle	IntPoints	Lag	Index_Speed	Index_Lag	LaserDotTarget	TargetSpeed	PreviousDirDot	PointsThisRun	PointsTotal	Frames	Date
-7.49	0	0	1.86818	10.5778	0.0469083	0.370736	10.6403	0	-1	95	0.926106	0.25	0.279031	5640	5640	531	2022-12-6-9:50:14
-7.49	1	0	6.82908	9.91429	0.120635	0.953429	9.54237	64	-1	94	0.932062	1	0.0846454	5059	10699	531	2022-12-6-9:50:23
-7.49	1	0	14.3553	10.3083	0.0768583	0.58778	10.1153	0	-1	93	0.911885	2	-0.053638	5340	16039	529	2022-12-6-9:50:30
-7.49	1	0	3.82776	10.6754	0.0360688	0.294053	10.7312	2	-1	92	0.834616	0.5	0.258067	5698	21737	532	2022-12-6-9:50:38
-7.49	0	0	22.952	7.28282	0.358385	3.01999	6.86095	4	-1	91	0.68686	4	-0.535392	3592	25329	525	2022-12-6-9:50:45
-7.49	0	0	25.5853	8.52685	0.274795	2.08988	8.1673	0	-1	90	0.794736	4	-0.521838	4285	29614	526	2022-12-6-9:50:52
-7.49	0	0	1.82869	10.0474	0.105844	0.857825	9.68679	32	-1	89	0.782971	0.25	0.00383328	5124	34738	530	2022-12-6-9:51:2
-7.49	0	0	3.71637	10.246	0.0837747	0.670691	10.0321	8	-1	88	0.815579	0.5	0.0112133	5306	40044	530	2022-12-6-9:51:9
-7.49	1	0	7.50996	10.5365	0.0514964	0.410445	10.4426	0	-1	87	0.983708	1	0.197294	5534	45578	531	2022-12-6-9:51:16
-7.49	0	0	7.64961	9.83671	0.129255	1.04039	9.61248	4	-1	86	0.678627	1	-0.214003	5074	50652	529	2022-12-6-9:51:23
-7.49	0	0	7.43853	9.95873	0.115697	0.908218	9.71241	8	-1	85	0.839853	1	0.44335	5156	55808	532	2022-12-6-9:51:30
-7.49	1	0	30.3259	6.24071	0.449083	2.71874	5.81749	4	-1	84	0.912245	8	-0.487498	3049	58857	526	2022-12-6-9:51:39
-7.49	0	0	3.72808	10.4214	0.0642847	0.519194	10.3856	4	-1	83	0.85243	0.5	-0.118429	5483	64340	529	2022-12-6-9:51:47
-7.49	0	0	1.83596	10.3956	0.0671523	0.542665	10.189	16	-1	82	0.843025	0.25	-0.0881302	5379	69719	529	2022-12-6-9:51:55
-7.49	0	0	39.4104	6.11011	0.345368	3.18912	5.72023	0	-1	81	0.75494	8	-0.137607	3015	72734	529	2022-12-6-9:52:2
-7.49	1	0	1.91279	10.7553	0.0271865	0.222096	10.9284	1	-1	80	0.930215	0.25	0.362226	5792	78526	531	2022-12-6-9:52:10
-7.49	0	0	12.6031	9.13448	0.20728	1.4556	8.67105	8	-1	79	0.842961	2	0.315294	4602	83128	532	2022-12-6-9:52:17
-7.49	1	0	14.1494	10.0877	0.101361	0.779471	9.7685	2	-1	78	0.922329	2	-0.282654	5138	88266	527	2022-12-6-9:52:24
-7.49	1	0	3.55849	10.3851	0.0683275	0.546025	10.1789	32	-1	77	0.786392	0.5	0.266516	5394	93660	531	2022-12-6-9:52:33
-7.49	1	0	39.7994	8.04026	0.32886	2.04713	7.66034	1	-1	76	0.933005	8	-0.260126	4027	97687	527	2022-12-6-9:52:41
-7.49	0	0	1.89686	10.6014	0.0442863	0.361941	10.6509	8	-1	75	0.921303	0.25	0.00178394	5634	103321	530	2022-12-6-9:52:49
-7.49	1	0	6.92241	9.08664	0.212596	1.6464	8.71267	32	-1	74	0.706326	1	-0.120686	4599	107920	529	2022-12-6-9:52:56
-7.49	1	0	49.3241	1.03152	0.23647	13.6403	0.920455	64	-1	73	0.615498	8	-0.246135	476	108396	528	2022-12-6-9:53:10
-7.49	1	0	24.3871	9.79133	0.134297	0.997184	9.43774	1	-1	72	0.92831	4	0.0332889	4991	113387	530	2022-12-6-9:53:17
-7.49	0	0	1.74295	9.15151	0.205388	1.69023	8.69057	64	-1	71	0.447981	0.25	0.148969	4597	117984	530	2022-12-6-9:53:28
-7.49	0	0	6.15177	10.0688	0.103464	0.709507	9.83677	2	-1	70	0.940834	1	0.432294	5232	123216	533	2022-12-6-9:53:35
-7.49	0	0	44.8371	0.273353	0.0659159	38.6176	0.23855	64	-1	69	-0.153548	8	-0.664902	115	123331	524	2022-12-6-9:53:47
-7.49	0	0	12.7822	9.67158	0.147602	1.02724	9.36535	0	-1	68	0.805847	2	0.255765	4963	128294	531	2022-12-6-9:53:54
-7.49	1	0	3.82336	10.6806	0.0354838	0.28933	10.7576	0	-1	67	0.875233	0.5	-0.13412	5669	133963	528	2022-12-6-9:54:1
-7.49	0	0	13.7696	9.03571	0.218255	1.60448	8.63705	4	-1	66	0.723804	2	-0.185667	4558	138521	529	2022-12-6-9:54:9
-7.49	1	0	3.70139	10.55	0.0499989	0.406595	10.5777	16	-1	65	0.793649	0.5	-0.273199	5575	144096	528	2022-12-6-9:54:18
-7.49	1	0	24.8334	9.36041	0.182176	1.30856	8.92424	4	-1	64	0.941365	4	-0.302831	4701	148797	528	2022-12-6-9:54:25
-7.49	0	0	7.63503	10.2816	0.0798189	0.65327	10.1566	0	-1	63	0.916924	1	-0.00845537	5373	154170	530	2022-12-6-9:54:33
-7.49	0	0	13.5615	8.17626	0.297707	2.35717	7.69794	16	-1	62	0.785357	2	0.441499	4092	158262	533	2022-12-6-9:54:41
-7.49	1	0	26.5607	8.90836	0.232404	1.78021	8.47917	8	-1	61	0.913159	4	-0.165351	4466	162728	528	2022-12-6-9:54:50
-7.49	0	0	38.0738	5.37782	0.306214	5.47881	5.01912	4	-1	60	0.648251	8	-0.669385	2615	165343	523	2022-12-6-9:54:57
-7.49	0	0	3.73853	10.5913	0.0454103	0.358333	10.5789	1	-1	59	0.881016	0.5	0.309132	5618	170961	532	2022-12-6-9:55:4
-7.49	0	0	14.606	9.28621	0.190421	1.47588	8.87713	1	-1	58	0.863465	2	-0.119871	4685	175646	529	2022-12-6-9:55:11
-7.49	1	0	41.7872	4.49725	0.511494	5.10811	4.14015	16	-1	57	0.897616	8	-0.227207	2175	177821	528	2022-12-6-9:55:21
-7.49	0	0	32.3357	4.53033	0.403671	5.22131	4.18821	1	-1	56	0.760656	8	-0.443384	2193	180014	526	2022-12-6-9:55:28
-7.49	1	0	35.3808	7.34202	0.38662	2.39106	6.91396	0	-1	55	0.888837	8	-0.658846	3605	183619	523	2022-12-6-9:55:41
-7.49	1	0	6.95342	10.4384	0.0623967	0.482988	10.3522	8	-1	54	0.95214	1	0.0840871	5486	189105	531	2022-12-6-9:55:50
-7.49	1	0	11.7429	4.90574	0.696941	4.70258	4.49811	64	-1	53	0.811175	2	0.230538	2373	191478	530	2022-12-6-9:56:2
-7.49	1	0	7.61027	10.5879	0.0457866	0.368063	10.6535	1	-1	52	0.875236	1	0.179999	5647	197125	531	2022-12-6-9:56:10
